doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
rmit_tuition_2026,documents/rmit_tuition_2026.md,"Học phí RMIT Việt Nam năm 2026",https://www.rmit.edu.vn/vi/hoc-tap-tai-rmit/hoc-phi,2026-08-03,"Năm học 2026; trang được kiểm tra ngày 2026-08-03","Publicly accessible official RMIT webpage/PDF; no explicit reuse license identified. Use with source attribution for educational lab."
rmit_fees_guide_2026,documents/rmit_fees_guide_2026.md,"Tài liệu Hướng dẫn Thông tin học phí & Các phí phụ thu 2026",https://www.rmit.edu.vn/assets/vn/en/assets-for-production/documents/pdfs/study-at-rmit/tuition-fees/student-fees-and-charges-guide-06-2026.pdf,2026-08-03,"Cập nhật lần cuối 17/06/2026; ban hành bởi Khối Học vụ (Việt Nam)","Publicly accessible official RMIT webpage/PDF; no explicit reuse license identified. Use with source attribution for educational lab."
rmit_payment_methods,documents/rmit_payment_methods.md,"Phương thức thanh toán học phí",https://www.rmit.edu.vn/vi/hoc-tap-tai-rmit/hoc-phi/phuong-thuc-thanh-toan-hoc-phi,2026-08-03,"Phiên bản trang web được kiểm tra ngày 2026-08-03; ngày ban hành không xác định","Publicly accessible official RMIT webpage/PDF; no explicit reuse license identified. Use with source attribution for educational lab."
rmit_academic_calendar_2026,documents/rmit_academic_calendar_2026.md,"Academic Calendar 2026 – Vietnam Campus",https://www.rmit.edu.vn/assets/vn/en/assets-for-production/documents/pdfs/academic-calendar/academic-calendar-2026-jun26.pdf,2026-08-03,"Approved on 29 June 2026","Publicly accessible official RMIT webpage/PDF; no explicit reuse license identified. Use with source attribution for educational lab."
rmit_tuition_assistance_2026,documents/rmit_tuition_assistance_2026.md,"Chính sách học phí đặc biệt",https://www.rmit.edu.vn/vi/hoc-tap-tai-rmit/hoc-phi/chinh-sach-hoc-phi-dac-biet,2026-08-03,"Chính sách áp dụng cho kỳ nhập học năm 2026/2027 tùy chương trình; trang kiểm tra ngày 2026-08-03","Publicly accessible official RMIT webpage/PDF; no explicit reuse license identified. Use with source attribution for educational lab."
rmit_current_student_scholarship_2026,documents/rmit_current_student_scholarship_2026.md,"Học bổng Thành tích học tập xuất sắc cho sinh viên hiện đang học tại RMIT",https://www.rmit.edu.vn/vi/hoc-tap-tai-rmit/hoc-bong/hoc-bong-thanh-tich-hoc-tap-xuat-sac-cho-sinh-vien-hien-dang-hoc-tai-rmit,2026-08-03,"Chương trình học bổng năm 2026; trang kiểm tra ngày 2026-08-03","Publicly accessible official RMIT webpage/PDF; no explicit reuse license identified. Use with source attribution for educational lab."
rmit_full_scholarship_2026,documents/rmit_full_scholarship_2026.md,"Học bổng toàn phần RMIT Việt Nam",https://www.rmit.edu.vn/vi/hoc-tap-tai-rmit/hoc-bong/hoc-bong-dai-hoc-cho-sinh-vien-tuong-lai/hoc-bong-hieu-truong,2026-08-03,"Đợt tuyển học bổng năm 2026; hạn hồ sơ 03/07/2026","Publicly accessible official RMIT webpage/PDF; no explicit reuse license identified. Use with source attribution for educational lab."
